unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PPS_HAB,AL01	: 	: 	5100 	5300 	6100 	6200 	6500 	6300 	6600 	7100 	7100 	7400 p
PPS_HAB,AL02	: 	: 	8800 	9000 	9400 	9400 	9500 	9100 	9800 	10500 	10300 	11100 p
PPS_HAB,AL03	: 	: 	5400 	5500 	6200 	7200 	7600 	7500 	8100 	8000 	8000 	8200 p
PPS_HAB,AT11	20300 	21200 	21000 	20500 	21400 	22300 	23900 	24200 	24800 	26100 	26300 	27100 
PPS_HAB,AT12	25200 	26600 	26800 	25400 	26200 	27300 	28600 	28700 	29400 	30800 	30700 	31100 
PPS_HAB,AT13	41200 	42100 	42400 	40800 	41900 	42900 	44100 	43700 	43900 	45300 	45400 	45200 
PPS_HAB,AT21	26200 	27700 	27700 	26100 	27000 	28600 	29700 	29700 	30500 	31500 	31500 	32600 
PPS_HAB,AT22	27300 	28800 	28900 	27400 	28300 	29700 	31500 	31400 	32400 	33500 	33700 	34500 
PPS_HAB,AT31	30700 	32000 	32700 	30700 	32000 	33800 	35400 	35900 	36800 	38200 	38300 	39000 
PPS_HAB,AT32	35600 	37700 	37500 	35700 	37700 	39400 	41800 	41400 	42200 	44500 	45100 	45400 
PPS_HAB,AT33	32600 	33700 	33400 	32300 	33000 	34500 	36700 	37100 	38000 	40100 	40200 	40900 
PPS_HAB,AT34	32300 	33800 	34000 	32200 	33100 	34900 	36400 	37300 	38800 	42100 	40600 	40600 
PPS_HAB,BE10	56300 	57200 	55700 	53800 	56100 	56800 	57600 	56800 	56800 	59300 	58900 	58700 
PPS_HAB,BE21	34700 	36100 	35700 	33700 	35800 	36600 	37800 	37700 	38900 	40700 	41100 	42100 
PPS_HAB,BE22	24000 	25100 	25100 	23200 	24700 	25700 	26400 	26300 	27500 	28200 	28200 	28900 
PPS_HAB,BE23	25800 	27200 	26800 	26200 	27700 	28300 	29200 	29300 	30100 	31800 	31900 	32400 
PPS_HAB,BE24	30600 	31800 	31500 	31000 	32300 	32800 	34500 	34800 	35500 	37100 	37300 	37500 
PPS_HAB,BE25	27700 	29100 	28400 	27300 	29000 	29700 	30800 	31000 	32400 	33400 	33700 	34400 
PPS_HAB,BE31	30300 	31700 	33000 	31300 	36400 	33700 	34300 	34700 	36600 	38800 	38800 	39500 
PPS_HAB,BE32	19200 	19800 	20000 	18800 	19800 	20500 	21000 	20800 	21300 	22000 	22000 	22400 
PPS_HAB,BE33	21400 	22100 	22200 	21300 	22300 	23100 	23600 	23500 	23900 	24600 	24700 	25200 
PPS_HAB,BE34	20300 	20500 	20200 	19300 	20300 	20700 	20900 	20700 	21000 	21900 	21700 	22000 
PPS_HAB,BE35	20500 	21100 	21300 	20600 	21900 	22100 	22600 	22500 	23100 	23600 	23700 	23900 
PPS_HAB,BG31	6400 	7000 	7300 	6700 	6900 	7400 	7700 	7600 	8300 	8400 	8600 	9300 
PPS_HAB,BG32	6800 	7300 	7700 	7100 	7400 	8000 	8500 	8600 	9400 	9600 	9800 	10200 
PPS_HAB,BG33	8100 	8900 	9600 	8700 	9100 	9600 	10200 	10100 	10900 	11300 	11400 	11800 
PPS_HAB,BG34	8100 	8500 	9200 	8800 	9100 	9500 	10200 	10300 	11000 	11400 	12500 	13000 
PPS_HAB,BG41	14500 	17100 	18600 	17800 	19200 	19700 	20000 	19700 	20700 	22100 	22900 	23700 
PPS_HAB,BG42	6900 	7500 	7700 	7400 	7900 	8300 	8700 	8600 	8800 	9700 	9900 	10400 
PPS_HAB,CY00	24800 	27100 	27500 	25800 	25400 	25000 	24100 	22500 	22400 	23700 	24500 	25400 p
PPS_HAB,CZ01	41900 	46700 	47700 	45000 	45500 	45800 	45900 	46700 	48400 	53300 	53600 	56200 
PPS_HAB,CZ02	18500 	20200 	20500 	18900 	18700 	19600 	19900 	20000 	21900 	22800 	23800 	25100 
PPS_HAB,CZ03	18100 	19000 	18600 	18400 	18600 	19000 	19100 	20000 	21200 	22100 	22500 	23300 
PPS_HAB,CZ04	15600 	16800 	16900 	16700 	16300 	16700 	16800 	16900 	17600 	18800 	18200 	19000 
PPS_HAB,CZ05	16400 	17700 	17800 	17000 	17300 	17900 	17900 	18300 	19600 	20800 	21300 	22600 
PPS_HAB,CZ06	17100 	19000 	19500 	18800 	18900 	19700 	20300 	21200 	22400 	23600 	23600 	24400 
PPS_HAB,CZ07	15200 	16600 	17300 	16600 	16800 	17500 	17700 	18100 	19800 	20600 	21000 	22000 
PPS_HAB,CZ08	16100 	17700 	18300 	17000 	17500 	18600 	18900 	18600 	20000 	21000 	21300 	22100 
PPS_HAB,DE11	37000 	39800 	38600 	34700 	38900 	41300 	42400 	42600 	44600 e	47400 e	47000 e	47800 e
PPS_HAB,DE12	33400 	35200 	35300 	32800 	35200 	36900 	37200 	37200 	38300 e	40100 e	40200 e	40800 e
PPS_HAB,DE13	28000 	29500 	29700 	27100 	29300 	31100 	31600 	32000 	33800 e	34900 e	35000 e	35600 e
PPS_HAB,DE14	30300 	32400 	32800 	29500 	32500 	34800 	35400 	35900 	37300 e	38900 e	39800 e	40400 e
PPS_HAB,DE21	41800 	44100 	42500 	40500 	42800 	45800 	47000 	47600 	49500 e	51800 e	51900 e	53000 e
PPS_HAB,DE22	26600 	28300 	28200 	26800 	29600 	31700 	31600 	32200 	34300 e	35200 e	35400 e	36400 e
PPS_HAB,DE23	27300 	29500 	29800 	28100 	30700 	32800 	33600 	34100 	36400 e	37600 e	37700 e	38800 e
PPS_HAB,DE24	25100 	26200 	26100 	25500 	27200 	29100 	29900 	30100 	31600 e	33500 e	33700 e	34700 e
PPS_HAB,DE25	30400 	32100 	32400 	31100 	32900 	34900 	36000 	36200 	37800 e	39300 e	39600 e	40600 e
PPS_HAB,DE26	28400 	30000 	29700 	27700 	30000 	32500 	33100 	33400 	34800 e	35800 e	36500 e	37600 e
PPS_HAB,DE27	28100 	29100 	29400 	27700 	29700 	31700 	32800 	33000 	34600 e	35800 e	36000 e	36900 e
PPS_HAB,DE30	27100 	28600 	29300 	28500 	30000 	31300 	31500 	31400 	32800 e	34400 e	34800 e	35500 e
PPS_HAB,DE40	19700 	20800 	21200 	20300 	21600 	22500 	23100 	23500 	24900 e	25600 e	25600 e	26000 e
PPS_HAB,DE50	39100 	40900 	40700 	36100 	38900 	40600 	42400 	42200 	43700 e	45200 e	45200 e	46500 e
PPS_HAB,DE60	51600 	53600 	53900 	50600 	52800 	53600 	54500 	55700 	57300 e	60100 e	59500 e	60600 e
PPS_HAB,DE71	41300 	43200 	42800 	39800 	41600 	43200 	43500 	43600 	45500 e	46400 e	46500 e	47300 e
PPS_HAB,DE72	25600 	27300 	27700 	24900 	26300 	27600 	27900 	28100 	29600 e	30400 e	30600 e	31300 e
PPS_HAB,DE73	26600 	28000 	27800 	26200 	28000 	29200 	29700 	30300 	31800 e	33000 e	33700 e	34500 e
PPS_HAB,DE80	18400 	19800 	20100 	19600 	20500 	21500 	22000 	22600 	23700 e	24300 e	24200 e	25000 e
PPS_HAB,DE91	28100 	30200 	29800 	27100 	30600 	33600 	34400 	34600 	36600 e	35400 e	41000 e	42200 e
PPS_HAB,DE92	28500 	29300 	29800 	28000 	29700 	31500 	32200 	31800 	33100 e	33900 e	34600 e	35500 e
PPS_HAB,DE93	19600 	20700 	20900 	20000 	21000 	22200 	23200 	23500 	25000 e	25700 e	25500 e	26300 e
PPS_HAB,DE94	24700 	26300 	26800 	25200 	27100 	28600 	29400 	29600 	30700 e	31800 e	32200 e	33200 e
PPS_HAB,DEA1	31500 	34100 	35000 	32600 	33700 	35200 	35400 	35500 	37100 e	38000 e	37900 e	38600 e
PPS_HAB,DEA2	31900 	34000 	33500 	32100 	33400 	34700 	35300 	35700 	37200 e	38900 e	39100 e	39700 e
PPS_HAB,DEA3	24700 	26400 	26800 	24900 	26400 	27700 	28300 	28500 	29600 e	30400 e	30600 e	31300 e
PPS_HAB,DEA4	26900 	29100 	28900 	27200 	28500 	30400 	31300 	31900 	33600 e	34300 e	34800 e	35600 e
PPS_HAB,DEA5	25200 	26900 	27300 	25500 	27200 	28800 	29300 	29400 	30800 e	31600 e	31800 e	32500 e
PPS_HAB,DEB1	24200 	25400 	25400 	24100 	25800 	27300 	28000 	28400 	30000 e	31100 e	31300 e	32100 e
PPS_HAB,DEB2	22100 	23200 	23400 	22300 	23200 	24900 	25500 	26400 	27500 e	28400 e	28400 e	29300 e
PPS_HAB,DEB3	26800 	28500 	28400 	27100 	29200 	30700 	31700 	31600 	33000 e	34700 e	34500 e	35400 e
PPS_HAB,DEC0	28200 	30000 	30000 	26600 	28700 	30600 	31100 	30500 	32400 e	33400 e	32800 e	33300 e
PPS_HAB,DED2	21200 	22600 	22300 	21300 	22400 	23500 	24000 	24500 	25900 e	27600 e	27900 e	28400 e
PPS_HAB,DED4	19300 	20600 	20600 	19400 	20900 	22100 	22600 	22700 	24200 e	25300 e	25900 e	26500 e
PPS_HAB,DED5	21800 	23000 	23200 	22400 	23700 	25400 	26300 	26800 	28300 e	29000 e	29300 e	29600 e
PPS_HAB,DEE0	19300 	20600 	20700 	19500 	21100 	21800 	22900 	23200 	24200 e	25000 e	25100 e	25600 e
PPS_HAB,DEF0	24400 	25200 	25500 	24200 	25100 	26200 	27300 	27500 	28700 e	29500 e	29700 e	30400 e
PPS_HAB,DEG0	19100 	20400 	20400 	19200 	20800 	22300 	22800 	23500 	25200 e	26000 e	26300 e	27000 e
PPS_HAB,DK01	37000 	38500 	39500 	37700 	41500 	41100 	42000 	43100 	45000 	48000 	47900 	49800 
PPS_HAB,DK02	22000 	22500 	21900 	20900 	22500 	22700 	23200 	23200 	23800 	25700 	25400 	26300 
PPS_HAB,DK03	27300 	28800 	29200 	27700 	29400 	30300 	30400 	31100 	32100 	33400 	33200 	34300 
PPS_HAB,DK04	28400 	29500 	29800 	28500 	29300 	30400 	30200 	30600 	31400 	32300 	33100 	34400 
PPS_HAB,DK05	26500 	27900 	28000 	26700 	27700 	28100 	28600 	29000 	29500 	31000 	31200 	32800 
PPS_HAB,EE00	15900 	18100 	17900 	15600 	16500 	18500 	19600 	20200 	21300 	22000 	22500 	23700 
PPS_HAB,EL30	31300 	32200 	32600 	31300 	29300 	26800 	26000 	26200 	27000 	27400 p	26900 p	27300 p
PPS_HAB,EL41	18300 	19100 	19700 	18300 	16800 	15500 	14800 	15000 	15500 	15700 p	14900 p	14500 p
PPS_HAB,EL42	26300 	26800 	27600 	24700 	23000 	20900 	20000 	20800 	21800 	22600 p	21500 p	21700 p
PPS_HAB,EL43	21000 	21000 	21400 	20000 	18400 	16400 	15500 	15800 	16800 	17300 p	16700 p	17000 p
PPS_HAB,EL51	16200 	16900 	17400 	16500 	16000 	14100 	13700 	13400 	13700 	13900 p	13900 p	13900 p
PPS_HAB,EL52	18600 	19300 	19500 	18300 	16700 	15400 	14900 	14700 	15100 	15600 p	15600 p	16000 p
PPS_HAB,EL53	20500 	19900 	18700 	19000 	18400 	17900 	18400 	18300 	19700 	19400 p	17400 p	17900 p
PPS_HAB,EL54	16700 	16800 	16700 	15700 	15100 	14100 	13400 	13600 	14000 	14300 p	14300 p	14400 p
PPS_HAB,EL61	18000 	18100 	18300 	17100 	15400 	14100 	14100 	14300 	14900 	15400 p	15300 p	15700 p
PPS_HAB,EL62	23300 	23700 	24300 	21800 	20200 	17600 	17200 	17200 	18100 	18700 p	18400 p	18600 p
PPS_HAB,EL63	18400 	18600 	18300 	17000 	16400 	14700 	14400 	14200 	14600 	15000 p	14600 p	14900 p
PPS_HAB,EL64	21800 	21800 	21800 	20100 	18700 	17500 	17000 	16800 	17100 	17600 p	17800 p	18500 p
PPS_HAB,EL65	18600 	19200 	19200 	18200 	17000 	15800 	15500 	15600 	16000 	16600 p	16500 p	17000 p
PPS_HAB,ES11	21400 	23000 	23100 	21700 	21700 	21300 	21200 	21200 	21900 	23400 	23700 p	24700 p
PPS_HAB,ES12	22900 	24500 	24300 	22300 	22400 	22100 	21800 	21200 	21700 	23000 	23100 p	24500 p
PPS_HAB,ES13	23800 	25200 	24900 	23100 	22900 	22500 	22400 	21700 	22700 	23600 	24000 p	25000 p
PPS_HAB,ES21	32100 	34000 	34000 	31600 	31700 	31500 	31800 	31400 	32800 	34600 	35100 p	36300 p
PPS_HAB,ES22	31700 	33100 	32800 	30600 	30300 	30100 	29900 	29900 	31200 	32700 	33100 p	34000 p
PPS_HAB,ES23	27300 	28700 	28300 	26300 	26400 	26000 	26000 	25800 	27100 	28500 	28200 p	28800 p
PPS_HAB,ES24	27500 	29400 	29000 	26900 	27000 	26700 	26400 	26600 	27500 	28500 	29200 p	30400 p
PPS_HAB,ES30	33900 	35600 	35000 	33200 	32600 	32800 	33100 	32900 	34100 	36100 	36500 p	37200 p
PPS_HAB,ES41	23400 	24800 	24400 	23000 	23000 	22900 	23000 	22500 	23200 	24600 	25100 p	25800 p
PPS_HAB,ES42	20500 	21700 	21400 	20000 	19800 	19500 	19400 	19100 	19300 	20600 	21000 p	21800 p
PPS_HAB,ES43	16900 	18100 	18100 	17200 	17200 	16800 	16700 	16600 	17000 	18200 	18600 p	19300 p
PPS_HAB,ES51	30100 	31600 	30800 	28700 	28600 	28200 	28300 	28200 	29600 	31400 	32000 p	33100 p
PPS_HAB,ES52	23300 	24300 	23800 	21800 	21600 	21300 	21000 	20900 	21900 	23100 	23500 p	24300 p
PPS_HAB,ES53	27800 	28700 	28000 	25700 	25400 	25100 	25300 	25000 	26100 	27600 	28300 p	28900 p
PPS_HAB,ES61	19700 	20800 	20300 	18800 	18500 	18300 	18100 	17800 	18400 	19600 	19800 p	20400 p
PPS_HAB,ES62	21300 	22400 	22200 	20300 	20200 	19700 	19800 	19700 	20200 	21800 	22000 p	22700 p
PPS_HAB,ES63	21900 	22900 	22600 	21300 	20800 	20200 	19800 	20100 	20400 	21400 	21500 p	21500 p
PPS_HAB,ES64	21400 	21800 	21300 	20000 	19400 	18800 	18100 	18200 	18600 	19500 	19700 p	19800 p
PPS_HAB,ES70	22900 	23800 	23100 	21200 	21200 	20900 	20700 	20400 	20900 	21900 	22100 p	22700 p
PPS_HAB,FI19	25100 	27800 	28400 	25700 	26600 	28000 	28000 	27200 	27400 	28300 	28200 	29000 
PPS_HAB,FI1B	38100 	41600 	42300 	39300 	40400 	40600 	40100 	40000 	40000 	42000 	41800 	42400 
PPS_HAB,FI1C	25900 	28100 	28200 	25200 	25300 	27000 	27300 	26700 	27100 	27700 	28000 	29300 
PPS_HAB,FI1D	23100 	25000 	25500 	22600 	23800 	25000 	25100 	25000 	25300 	25800 	26400 	27200 
PPS_HAB,FI20	34800 	35800 	34400 	35300 	35000 	35600 	38100 	38100 	37300 	39100 	37700 	37900 
PPS_HAB,FR10	: 	: 	: 	: 	: 	: 	: 	: 	: 	51500 	51600 p	53100 p
PPS_HAB,FRB0	: 	: 	: 	: 	: 	: 	: 	: 	: 	25300 	25100 p	25300 p
PPS_HAB,FRC1	: 	: 	: 	: 	: 	: 	: 	: 	: 	25300 	24800 p	24800 p
PPS_HAB,FRC2	: 	: 	: 	: 	: 	: 	: 	: 	: 	23200 	23000 p	23500 p
PPS_HAB,FRD1	: 	: 	: 	: 	: 	: 	: 	: 	: 	24300 	24100 p	24400 p
PPS_HAB,FRD2	: 	: 	: 	: 	: 	: 	: 	: 	: 	26600 	26200 p	26500 p
PPS_HAB,FRE1	: 	: 	: 	: 	: 	: 	: 	: 	: 	24800 	24700 p	25000 p
PPS_HAB,FRE2	: 	: 	: 	: 	: 	: 	: 	: 	: 	23300 	22600 p	22500 p
PPS_HAB,FRF1	: 	: 	: 	: 	: 	: 	: 	: 	: 	28000 	28000 p	28800 p
PPS_HAB,FRF2	: 	: 	: 	: 	: 	: 	: 	: 	: 	26000 	25400 p	25500 p
PPS_HAB,FRF3	: 	: 	: 	: 	: 	: 	: 	: 	: 	23000 	22500 p	22600 p
PPS_HAB,FRG0	: 	: 	: 	: 	: 	: 	: 	: 	: 	27400 	27400 p	28100 p
PPS_HAB,FRH0	: 	: 	: 	: 	: 	: 	: 	: 	: 	25700 	25700 p	26500 p
PPS_HAB,FRI1	: 	: 	: 	: 	: 	: 	: 	: 	: 	26600 	26600 p	27400 p
PPS_HAB,FRI2	: 	: 	: 	: 	: 	: 	: 	: 	: 	22900 	23300 p	24100 p
PPS_HAB,FRI3	: 	: 	: 	: 	: 	: 	: 	: 	: 	24800 	24400 p	24900 p
PPS_HAB,FRJ1	: 	: 	: 	: 	: 	: 	: 	: 	: 	22800 	22700 p	22900 p
PPS_HAB,FRJ2	: 	: 	: 	: 	: 	: 	: 	: 	: 	28100 	28100 p	28600 p
PPS_HAB,FRK1	: 	: 	: 	: 	: 	: 	: 	: 	: 	24900 	24000 p	23900 p
PPS_HAB,FRK2	: 	: 	: 	: 	: 	: 	: 	: 	: 	30400 	30500 p	31300 p
PPS_HAB,FRL0	: 	: 	: 	: 	: 	: 	: 	: 	: 	28600 	28300 p	28600 p
PPS_HAB,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	24800 	24700 p	25100 p
PPS_HAB,FRY1	: 	: 	: 	: 	: 	: 	: 	: 	: 	20900 	21100 p	21900 p
PPS_HAB,FRY2	: 	: 	: 	: 	: 	: 	: 	: 	: 	22800 	22600 p	22700 p
PPS_HAB,FRY3	: 	: 	: 	: 	: 	: 	: 	: 	: 	15600 	15700 p	14800 p
PPS_HAB,FRY4	: 	: 	: 	: 	: 	: 	: 	: 	: 	20000 	20300 p	20900 p
PPS_HAB,FRY5	: 	: 	: 	: 	: 	: 	: 	: 	: 	9100 	9500 p	10300 p
