"unit","isco08","geo","time","values"
"P_HTHAB","OC221","IE",2017,325.75
"P_HTHAB","OC221","IS",2017,387.3
"P_HTHAB","OC221","IS00",2017,387.3
"P_HTHAB","OC221","IT",2017,398.95
"P_HTHAB","OC221","ITC1",2017,363.05
"P_HTHAB","OC221","ITC2",2017,369.84
"P_HTHAB","OC221","ITC3",2017,453
"P_HTHAB","OC221","ITC4",2017,369.54
"P_HTHAB","OC221","ITF1",2017,428.22
"P_HTHAB","OC221","ITF2",2017,402.62
"P_HTHAB","OC221","ITF3",2017,384.9
"P_HTHAB","OC221","ITF4",2017,373.1
"P_HTHAB","OC221","ITF5",2017,353.06
"P_HTHAB","OC221","ITF6",2017,388.19
"P_HTHAB","OC221","ITG1",2017,430.38
"P_HTHAB","OC221","ITG2",2017,485.26
"P_HTHAB","OC221","ITH1",2017,321.48
"P_HTHAB","OC221","ITH2",2017,336.76
"P_HTHAB","OC221","ITH3",2017,342.85
"P_HTHAB","OC221","ITH4",2017,402.97
"P_HTHAB","OC221","ITH5",2017,422.31
"P_HTHAB","OC221","ITI1",2017,438.51
"P_HTHAB","OC221","ITI2",2017,446.68
"P_HTHAB","OC221","ITI3",2017,372.92
"P_HTHAB","OC221","ITI4",2017,459.22
"P_HTHAB","OC221","LI",2017,363.52
"P_HTHAB","OC221","LI00",2017,363.52
"P_HTHAB","OC221","LT",2017,455.63
"P_HTHAB","OC221","LT01",2017,586.39
"P_HTHAB","OC221","LT02",2017,403.58
"P_HTHAB","OC221","LU",2017,298.49
"P_HTHAB","OC221","LU00",2017,298.49
"P_HTHAB","OC221","LV",2017,320.5
"P_HTHAB","OC221","LV00",2017,320.5
"P_HTHAB","OC221","ME",2017,265.11
"P_HTHAB","OC221","ME00",2017,265.11
"P_HTHAB","OC221","MK",2017,299.78
"P_HTHAB","OC221","MK00",2017,299.81
"P_HTHAB","OC221","MT",2017,396.37
"P_HTHAB","OC221","MT00",2017,396.37
"P_HTHAB","OC221","NL",2017,358.22
"P_HTHAB","OC221","NL11",2017,531.49
"P_HTHAB","OC221","NL12",2017,226.1
"P_HTHAB","OC221","NL13",2017,282.35
"P_HTHAB","OC221","NL21",2017,255.57
"P_HTHAB","OC221","NL22",2017,353.36
"P_HTHAB","OC221","NL23",2017,124.96
"P_HTHAB","OC221","NL31",2017,557.99
"P_HTHAB","OC221","NL32",2017,475.23
"P_HTHAB","OC221","NL33",2017,350.88
"P_HTHAB","OC221","NL34",2017,160.76
"P_HTHAB","OC221","NL41",2017,253.77
"P_HTHAB","OC221","NL42",2017,342.05
"P_HTHAB","OC221","NO",2017,465.85
"P_HTHAB","OC221","NO01",2017,543.89
"P_HTHAB","OC221","NO02",2017,417.6
"P_HTHAB","OC221","NO03",2017,399.78
"P_HTHAB","OC221","NO04",2017,394.17
"P_HTHAB","OC221","NO05",2017,463.55
"P_HTHAB","OC221","NO06",2017,469.92
"P_HTHAB","OC221","NO07",2017,547.68
"P_HTHAB","OC221","PL",2017,237.75
"P_HTHAB","OC221","PL21",2017,245.59
"P_HTHAB","OC221","PL22",2017,252.15
"P_HTHAB","OC221","PL41",2017,161.29
"P_HTHAB","OC221","PL42",2017,252.07
"P_HTHAB","OC221","PL43",2017,204.28
"P_HTHAB","OC221","PL51",2017,222.14
"P_HTHAB","OC221","PL52",2017,213.21
"P_HTHAB","OC221","PL61",2017,249.93
"P_HTHAB","OC221","PL62",2017,214.04
"P_HTHAB","OC221","PL63",2017,238.04
"P_HTHAB","OC221","PL71",2017,269.64
"P_HTHAB","OC221","PL72",2017,241.18
"P_HTHAB","OC221","PL81",2017,250.72
"P_HTHAB","OC221","PL82",2017,223.18
"P_HTHAB","OC221","PL84",2017,255.99
"P_HTHAB","OC221","PT",2017,497.47
"P_HTHAB","OC221","PT11",2017,490.03
"P_HTHAB","OC221","PT15",2017,390.2
"P_HTHAB","OC221","PT16",2017,458.52
"P_HTHAB","OC221","PT17",2017,631.44
"P_HTHAB","OC221","PT18",2017,285.73
"P_HTHAB","OC221","PT20",2017,324.24
"P_HTHAB","OC221","PT30",2017,403.34
"P_HTHAB","OC221","RO",2017,292.68
"P_HTHAB","OC221","RO11",2017,304.94
"P_HTHAB","OC221","RO12",2017,301.5
"P_HTHAB","OC221","RO21",2017,234.52
"P_HTHAB","OC221","RO22",2017,204.94
"P_HTHAB","OC221","RO31",2017,152.13
"P_HTHAB","OC221","RO32",2017,563.13
"P_HTHAB","OC221","RO41",2017,283.5
"P_HTHAB","OC221","RO42",2017,385.74
"P_HTHAB","OC221","RS",2017,295.88
"P_HTHAB","OC221","RS11",2017,364.7
"P_HTHAB","OC221","RS12",2017,264.06
"P_HTHAB","OC221","RS21",2017,262.01
"P_HTHAB","OC221","RS22",2017,301.89
"P_HTHAB","OC221","SI",2017,310.11
"P_HTHAB","OC221","SI03",2017,252.19
"P_HTHAB","OC221","SI04",2017,374.81
"P_HTHAB","OC221","SK",2017,342.11
"P_HTHAB","OC221","SK01",2017,635.4
"P_HTHAB","OC221","SK02",2017,264.21
"P_HTHAB","OC221","SK03",2017,326.79
"P_HTHAB","OC221","SK04",2017,325.76
"P_HTHAB","OC221","TR",2017,186.77
"P_HTHAB","OC221","TR10",2017,205.78
"P_HTHAB","OC221","TR21",2017,168.43
"P_HTHAB","OC221","TR22",2017,156.06
"P_HTHAB","OC221","TR31",2017,256.37
"P_HTHAB","OC221","TR32",2017,188.73
"P_HTHAB","OC221","TR33",2017,152.54
"P_HTHAB","OC221","TR41",2017,168.79
"P_HTHAB","OC221","TR42",2017,172.36
"P_HTHAB","OC221","TR51",2017,313.86
"P_HTHAB","OC221","TR52",2017,187.64
"P_HTHAB","OC221","TR61",2017,201.6
"P_HTHAB","OC221","TR62",2017,172.45
"P_HTHAB","OC221","TR63",2017,141.83
"P_HTHAB","OC221","TR71",2017,145.18
"P_HTHAB","OC221","TR72",2017,189.38
"P_HTHAB","OC221","TR81",2017,176.38
"P_HTHAB","OC221","TR82",2017,128.71
"P_HTHAB","OC221","TR83",2017,175.35
"P_HTHAB","OC221","TR90",2017,180.49
"P_HTHAB","OC221","TRA1",2017,200.41
"P_HTHAB","OC221","TRA2",2017,121.66
"P_HTHAB","OC221","TRB1",2017,199.24
"P_HTHAB","OC221","TRB2",2017,123.6
"P_HTHAB","OC221","TRC1",2017,148.09
"P_HTHAB","OC221","TRC2",2017,132.31
"P_HTHAB","OC221","TRC3",2017,112.04
"P_HTHAB","OC221","UK",2017,281.1
