"indic_de","unit","geo","time","values"
"PC_Y60_MAX","PC","AT21",2018,28.3
"PC_Y65_MAX","PC","AT21",2018,21.4
"OLDDEP1","PC","AT22",2017,29.8
"OLDDEP2","PC","AT22",2017,46.6
"PC_FM","PC","AT22",2017,102.7
"PC_Y60_MAX","PC","AT22",2017,26
"PC_Y65_MAX","PC","AT22",2017,19.9
"OLDDEP1","PC","AT22",2018,30.1
"OLDDEP2","PC","AT22",2018,47.6
"PC_FM","PC","AT22",2018,102.6
"PC_Y60_MAX","PC","AT22",2018,26.4
"PC_Y65_MAX","PC","AT22",2018,20.1
"OLDDEP1","PC","AT3",2017,26.6
"OLDDEP2","PC","AT3",2017,42.1
"PC_FM","PC","AT3",2017,102.5
"PC_Y60_MAX","PC","AT3",2017,23.5
"PC_Y65_MAX","PC","AT3",2017,17.8
"OLDDEP1","PC","AT3",2018,26.9
"OLDDEP2","PC","AT3",2018,42.9
"PC_FM","PC","AT3",2018,102.4
"PC_Y60_MAX","PC","AT3",2018,23.9
"PC_Y65_MAX","PC","AT3",2018,18
"OLDDEP1","PC","AT31",2017,27
"OLDDEP2","PC","AT31",2017,43.1
"PC_FM","PC","AT31",2017,101.7
"PC_Y60_MAX","PC","AT31",2017,23.9
"PC_Y65_MAX","PC","AT31",2017,18.1
"OLDDEP1","PC","AT31",2018,27.4
"OLDDEP2","PC","AT31",2018,44
"PC_FM","PC","AT31",2018,101.6
"PC_Y60_MAX","PC","AT31",2018,24.3
"PC_Y65_MAX","PC","AT31",2018,18.2
"OLDDEP1","PC","AT32",2017,27.2
"OLDDEP2","PC","AT32",2017,43.2
"PC_FM","PC","AT32",2017,104.4
"PC_Y60_MAX","PC","AT32",2017,24.1
"PC_Y65_MAX","PC","AT32",2017,18.2
"OLDDEP1","PC","AT32",2018,27.6
"OLDDEP2","PC","AT32",2018,44
"PC_FM","PC","AT32",2018,104.4
"PC_Y60_MAX","PC","AT32",2018,24.4
"PC_Y65_MAX","PC","AT32",2018,18.5
"OLDDEP1","PC","AT33",2017,25.9
"OLDDEP2","PC","AT33",2017,40.3
"PC_FM","PC","AT33",2017,102.9
"PC_Y60_MAX","PC","AT33",2017,23
"PC_Y65_MAX","PC","AT33",2017,17.6
"OLDDEP1","PC","AT33",2018,26.3
"OLDDEP2","PC","AT33",2018,41
"PC_FM","PC","AT33",2018,102.8
"PC_Y60_MAX","PC","AT33",2018,23.4
"PC_Y65_MAX","PC","AT33",2018,17.8
