unit,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
PCH_PRE,ITZZ	6.9 	5.4 	4.9 	-5.6 	-5.3 	12.8 	-1.9 	12.3 	-2.4 	-6.2 	26 	0.6 
PCH_PRE,LT01	: 	: 	: 	: 	2.6 	5.8 	6 	5 	4.7 	2.7 	2.8 	4.3 
PCH_PRE,LT02	: 	: 	: 	: 	1.1 	6.2 	2.5 	2.5 	2.8 	1.6 	2.1 	4 
PCH_PRE,LU00	5.7 	8.5 	-1.5 	-4.6 	5 	2 	-0.8 	3.6 	3.9 	4.2 	2.5 	1.7 
PCH_PRE,MK00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.2 
PCH_PRE,NL11	: 	: 	: 	: 	: 	: 	: 	: 	: 	-8.5 p	2 p	-0.5 p
PCH_PRE,NL12	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 p	0.9 p	2 p
PCH_PRE,NL13	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.9 p	-0.5 p	2.3 p
PCH_PRE,NL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.5 p	2.4 p	2.9 p
PCH_PRE,NL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 p	1.6 p	2.9 p
PCH_PRE,NL23	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 p	2.2 p	4.1 p
PCH_PRE,NL31	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 p	1.5 p	3.2 p
PCH_PRE,NL32	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 p	3.4 p	3.3 p
PCH_PRE,NL33	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 p	1 p	2.7 p
PCH_PRE,NL34	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.5 p	1.2 p	2.3 p
PCH_PRE,NL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 p	1.9 p	3.3 p
PCH_PRE,NL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 p	3.3 p	2.9 p
PCH_PRE,NLZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	-0.3 p	-1.1 p	-7.5 p
PCH_PRE,PL21	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.8 	3.2 	: 
PCH_PRE,PL22	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	3.2 	: 
PCH_PRE,PL41	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	3.5 	: 
PCH_PRE,PL42	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.6 	2.3 	: 
PCH_PRE,PL43	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 	2.6 	: 
PCH_PRE,PL51	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.1 	2.1 	: 
PCH_PRE,PL52	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	0.8 	: 
PCH_PRE,PL61	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.3 	2.2 	: 
PCH_PRE,PL62	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.3 	2.1 	: 
PCH_PRE,PL63	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.3 	4.2 	: 
PCH_PRE,PL71	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.9 	1.7 	: 
PCH_PRE,PL72	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	1.1 	: 
PCH_PRE,PL81	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.1 	2.9 	: 
PCH_PRE,PL82	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	2.7 	: 
PCH_PRE,PL84	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.4 	1.5 	: 
PCH_PRE,PL91	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.9 	4.4 	: 
PCH_PRE,PL92	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.4 	3.5 	: 
PCH_PRE,PT11	1.6 	3.7 	0.9 	-3.2 	2.6 	-0.6 	-2.3 	0 	1.5 	2 	2.4 	2.1 
PCH_PRE,PT15	2.8 	3.2 	0.4 	-5.8 	0.2 	-2.6 	-2.2 	-1.6 	2.6 	2.9 	4.5 	3.1 
PCH_PRE,PT16	1.6 	2.4 	-1.2 	-2.4 	1.1 	-0.9 	-2.6 	-1.2 	0.3 	2.7 	1.4 	2.1 
PCH_PRE,PT17	1.3 	2.6 	1.3 	-1.6 	1.8 	-1.5 	-3.8 	-0.8 	-0.5 	0.1 	1.1 	2.6 
PCH_PRE,PT18	2 	2.4 	-1 	-4.3 	2.4 	-1 	-4.9 	-2.1 	0.3 	3.4 	-0.6 	2.9 
PCH_PRE,PT20	2 	2.7 	3 	-1.7 	1.9 	-1.2 	-2.7 	-1.3 	0.2 	2.8 	2.2 	2 
PCH_PRE,PT30	2.6 	1.5 	1.2 	-3.1 	0.9 	-0.7 	-7.7 	-1 	1.6 	1.3 	2.1 	2.8 
PCH_PRE,PTZZ	-18.4 	-25.4 	-15.5 	207.3 	-0.7 	-8.5 	-18.4 	-17.2 	-62.6 	258.1 	-3.6 	-0.4 
PCH_PRE,RO11	: 	: 	2.7 	-4 	-5.9 	-2.2 	5.1 	4 	7 	2.8 	7.7 	: 
PCH_PRE,RO12	: 	: 	2.8 	-4.7 	-5.3 	-1.1 	4.1 	2 	1.9 	1.9 	5.2 	: 
PCH_PRE,RO21	: 	: 	2.6 	-7.2 	-10.4 	-8.4 	-1.9 	-0.1 	-2.5 	-2.7 	-0.4 	: 
PCH_PRE,RO22	: 	: 	4.5 	-1 	-7.2 	3.5 	-2.2 	10.5 	3.9 	3.1 	2.7 	: 
PCH_PRE,RO31	: 	: 	5.2 	-2.7 	-14.5 	-0.9 	-9.7 	3.8 	7.5 	-1.1 	0.8 	: 
PCH_PRE,RO32	: 	: 	25.5 	-5.9 	3.7 	10.7 	7.9 	5.7 	5.1 	8.5 	8.2 	: 
PCH_PRE,RO41	: 	: 	2.1 	-4.9 	-11.2 	-6.6 	0.2 	-2.7 	-4.3 	-0.3 	0.3 	: 
PCH_PRE,RO42	: 	: 	11.2 	-3.4 	-1.8 	3.7 	8 	5.6 	3.4 	7.7 	9 	: 
PCH_PRE,ROZZ	: 	: 	5.5 	-2.5 	42.7 	-28.3 	-15.9 	-8.1 	-5.1 	31.2 	-11.7 	: 
PCH_PRE,SE11	5.1 	5.7 	0.6 	-0.5 	4.3 	5.6 	0.9 	1.9 	4.5 	5.5 	2.7 	1.1 
PCH_PRE,SE12	4.3 	2.5 	-1.1 	-6.6 	7.2 	3 	0.1 	0.6 	1.1 	2.7 	2.6 	2.8 
PCH_PRE,SE21	6.9 	2.7 	0.4 	-11.6 	6.1 	3.2 	-1.5 	0.9 	1.2 	4.6 	2.9 	2.7 
PCH_PRE,SE22	4.5 	8.4 	-4.9 	-6.8 	6.6 	0.8 	-0.3 	1.6 	3.4 	4.8 	1.8 	3.6 
PCH_PRE,SE23	6.3 	2.7 	1.1 	-8 	6.9 	3.1 	-2.1 	2.8 	2.9 	4.7 	3 	3.1 
PCH_PRE,SE31	2.4 	-2 	0 	-8.5 	7.3 	0.2 	0.8 	-0.6 	0.4 	2.4 	3.5 	0.5 
PCH_PRE,SE32	0.2 	-2.6 	2.4 	-4.2 	6.8 	-2.1 	0 	-1.3 	0.6 	1.5 	0.8 	1.4 
PCH_PRE,SE33	3.4 	-3 	0.5 	-10.8 	10.6 	-0.7 	1.2 	-0.7 	-0.7 	2.4 	0.9 	1.6 
PCH_PRE,SEZZ	-2.5 	-0.7 	-2 	9.3 	6.9 	1.9 	-16.9 	1.4 	-2.3 	-2.8 	0.7 	-0.5 
PCH_PRE,SI03	5.4 	6.8 	3.1 	-8.6 	1.6 	0.8 	-2.9 	-1.1 	3.6 	1.7 	2.5 	5 
PCH_PRE,SI04	6.3 	7.4 	2.8 	-6.4 	1.1 	0 	-1.9 	-0.6 	3.7 	2.7 	3.6 	5.4 
PCH_PRE,SK01	6 	12.6 	4.3 	0.2 	4.8 	1.1 	1.3 	3.5 	0.7 	5.1 	3.1 	2 e
PCH_PRE,SK02	15.1 	10.4 	4.2 	-8.2 	5.5 	4.2 	2.4 	-0.5 	3.2 	1.1 	4.3 	1.7 e
PCH_PRE,SK03	10.4 	12.2 	9.2 	-6.3 	5.2 	0.4 	2.8 	1.2 	2.3 	4.8 	2.8 	2.5 e
PCH_PRE,SK04	7.1 	8.8 	9.7 	-7.6 	5.4 	3.7 	3.7 	0.5 	3.4 	5.7 	2.5 	6 e
PCH_PRE,UKC1	2.2 	1.2 	-0.4 	-1.5 	0.2 	0.2 	-0.6 	0.5 	1.5 	1.8 	-2.3 	1 
PCH_PRE,UKC2	1.9 	-0.9 	-0.9 	-5 	1.2 	3.1 	0 	-1.3 	2.5 	2.6 	0.9 	2 
PCH_PRE,UKD1	6 	-0.3 	2.2 	-3.1 	4.5 	-1.8 	0.5 	0.9 	2.9 	3.4 	-2 	-1.3 
PCH_PRE,UKD3	3.9 	2.4 	-0.9 	-2.5 	0.9 	-0.5 	2.2 	1.3 	1 	3.4 	1.9 	2 
PCH_PRE,UKD4	1.2 	3 	-2.2 	-5.8 	3.3 	0.7 	1.2 	0.3 	2.3 	4.2 	4 	0.9 
PCH_PRE,UKD6	3.9 	3 	-4.2 	-2.6 	2.1 	-0.9 	4.6 	1.4 	3.9 	0.6 	2.7 	3.8 
PCH_PRE,UKD7	5 	-1.2 	1.1 	0.6 	-0.3 	-1.1 	-2.5 	-0.6 	3.7 	3.1 	-2.1 	3.3 
PCH_PRE,UKE1	2.6 	2.9 	-2 	-3.6 	-3.6 	-0.6 	-2.3 	-1.6 	2.5 	4.4 	-1.1 	-3.4 
PCH_PRE,UKE2	0.2 	2.2 	-2.6 	-5 	-0.1 	3.6 	-0.8 	1.9 	0.9 	-0.9 	1.4 	2.6 
PCH_PRE,UKE3	2.9 	4.3 	-5.1 	-3.5 	0.8 	1.6 	1.4 	1.3 	2.2 	2.9 	1.1 	0.8 
PCH_PRE,UKE4	2.5 	2 	-2.7 	-4.1 	0 	2.1 	0.3 	0.3 	2.1 	4.1 	0.8 	1.4 
PCH_PRE,UKF1	1.7 	1.8 	-1 	-4.3 	3.9 	3.3 	1 	1.1 	3.1 	1 	1.1 	1.2 
PCH_PRE,UKF2	4.6 	3.2 	-0.8 	-5.7 	3.4 	0.2 	1.1 	1.7 	4.2 	2.2 	3 	1.9 
PCH_PRE,UKF3	3.9 	1.5 	1.5 	-5.2 	2.5 	2.3 	0.8 	3 	3.8 	0.2 	-2.7 	0.8 
PCH_PRE,UKG1	3.8 	-1.5 	0.2 	-4.8 	3 	5 	3.1 	2.4 	4.7 	3.2 	-0.3 	2.2 
PCH_PRE,UKG2	1.3 	0 	1.2 	-6.7 	2.9 	3.1 	0 	0.6 	2.8 	2.4 	0.2 	1.3 
PCH_PRE,UKG3	0.3 	1.5 	-2.5 	-5.3 	3.1 	1.6 	0.8 	1.8 	3.7 	3.4 	4.9 	2 
PCH_PRE,UKH1	5.4 	0 	-0.4 	-3.6 	1.6 	1.9 	2.1 	1 	3.3 	2.3 	1.4 	1.5 
PCH_PRE,UKH2	0.6 	2.5 	1.2 	-5.4 	-1.3 	-0.6 	0.1 	4.3 	5.3 	3.5 	2.8 	2.8 
PCH_PRE,UKH3	2 	1 	-0.7 	-4.7 	2.6 	0.1 	-0.1 	0 	4.8 	3.4 	0.3 	3.6 
PCH_PRE,UKI3	2.4 	8.8 	2.3 	-4.9 	2.2 	4.1 	3.8 	2.6 	5.5 	2.9 	7.3 	3 
PCH_PRE,UKI4	1.9 	8.5 	4 	-4 	3.1 	6.7 	2.5 	0.8 	4.7 	1.3 	2 	3.5 
PCH_PRE,UKI5	3.4 	2.8 	-2.2 	-8.4 	3.2 	0.7 	4.1 	2.1 	2.2 	1.3 	0.8 	2.1 
PCH_PRE,UKI6	3.1 	3.7 	-2.6 	-7.5 	0.2 	-0.2 	2.7 	-0.1 	3.7 	-2.1 	2 	1.8 
PCH_PRE,UKI7	4.6 	3.8 	-2 	-7.6 	2.1 	3.2 	4.8 	4 	6.6 	2.2 	3.8 	3.5 
PCH_PRE,UKJ1	1.7 	2.4 	0.5 	-3.6 	2.5 	2.6 	2.3 	2.4 	3.2 	4.5 	1.6 	0.9 
PCH_PRE,UKJ2	5.3 	0.9 	2 	-3.8 	2.7 	-0.8 	2.1 	2.3 	1.6 	4.8 	0 	1.1 
PCH_PRE,UKJ3	1.7 	2.8 	0.6 	-2.8 	4.6 	0.8 	0.2 	1.8 	1.7 	1.8 	-1.1 	1.7 
PCH_PRE,UKJ4	0.2 	1.7 	2.6 	-5.2 	3.2 	1 	-0.7 	1.1 	2.9 	3.7 	1.2 	2.3 
PCH_PRE,UKK1	1.8 	3.2 	0.8 	-3.1 	4.3 	-0.4 	2.1 	1.3 	4.6 	1.4 	0.2 	1 
PCH_PRE,UKK2	1.6 	-0.2 	1.5 	-3.1 	0.5 	0.1 	0.6 	0.5 	4.1 	0.5 	1.6 	1.7 
PCH_PRE,UKK3	2.4 	-1 	1.6 	-4.8 	1.6 	1.2 	0.9 	2 	1.1 	2.8 	3.1 	0.9 
PCH_PRE,UKK4	2.7 	-1.6 	-1.1 	-3.5 	3.7 	-0.3 	-0.3 	2.5 	1 	2.8 	1 	0.6 
PCH_PRE,UKL1	2.5 	-0.2 	-1.9 	-3.3 	0.7 	3.9 	0.6 	1.6 	1.8 	1.4 	0.4 	0.8 
PCH_PRE,UKL2	2.5 	2.4 	-4 	-2.5 	1.7 	4.1 	1.3 	1 	0.1 	3.3 	3.6 	2.2 
PCH_PRE,UKM5	10.6 	9.8 	4 	-4.1 	8.8 	3.2 	3 	5.1 	5.8 	-4.9 	-6.1 	-1 
PCH_PRE,UKM6	-0.2 	0.3 	1.9 	-1.8 	2.7 	5.3 	-2.3 	3.4 	0.1 	1 	0.2 	-2.7 
PCH_PRE,UKM7	4 	1.1 	-0.8 	-2 	-0.4 	1 	0.6 	2 	2.1 	3.7 	2.7 	2 
PCH_PRE,UKM8	2 	-0.7 	1.7 	-3.8 	-0.4 	2.5 	-0.4 	2.1 	4.8 	0.4 	0.8 	2.2 
PCH_PRE,UKM9	2.5 	-1.6 	2.1 	-4.3 	1 	1.9 	-1.9 	2.2 	4.5 	-2.7 	2.6 	4.9 
PCH_PRE,UKN0	2.9 	0.5 	-2.1 	-4.1 	-0.3 	1.6 	1.3 	0.2 	2.4 	3 	1.9 	1.7 
PCH_PRE,UKZZ	-8.4 	-3.3 	-5.2 	-7.9 	-6.9 	-17.2 	-14 	-8.5 	-1 	10.4 	1.6 	-1.8 
