"age","indic_he","unit","sex","icd10","geo","time","values"
"TOTAL","INPAT","P_HTHAB","M","E","ES62",2017,170.3
"TOTAL","INPAT","P_HTHAB","M","E","ES63",2017,157.2
"TOTAL","INPAT","P_HTHAB","M","E","ES64",2017,204.9
"TOTAL","INPAT","P_HTHAB","M","E","ES70",2017,149
"TOTAL","INPAT","P_HTHAB","M","E","FI",2017,278.5
"TOTAL","INPAT","P_HTHAB","M","E","FR",2017,373.1
"TOTAL","INPAT","P_HTHAB","M","E","FR10",2017,380.6
"TOTAL","INPAT","P_HTHAB","M","E","FRB0",2017,375.6
"TOTAL","INPAT","P_HTHAB","M","E","FRC1",2017,426.5
"TOTAL","INPAT","P_HTHAB","M","E","FRC2",2017,312.2
"TOTAL","INPAT","P_HTHAB","M","E","FRD1",2017,332.6
"TOTAL","INPAT","P_HTHAB","M","E","FRD2",2017,451
"TOTAL","INPAT","P_HTHAB","M","E","FRE1",2017,444.6
"TOTAL","INPAT","P_HTHAB","M","E","FRE2",2017,415.6
"TOTAL","INPAT","P_HTHAB","M","E","FRF1",2017,377.4
"TOTAL","INPAT","P_HTHAB","M","E","FRF2",2017,384.2
"TOTAL","INPAT","P_HTHAB","M","E","FRF3",2017,393.7
"TOTAL","INPAT","P_HTHAB","M","E","FRG0",2017,267.5
"TOTAL","INPAT","P_HTHAB","M","E","FRH0",2017,325.8
"TOTAL","INPAT","P_HTHAB","M","E","FRI1",2017,396.3
"TOTAL","INPAT","P_HTHAB","M","E","FRI2",2017,426.3
"TOTAL","INPAT","P_HTHAB","M","E","FRI3",2017,344.5
"TOTAL","INPAT","P_HTHAB","M","E","FRJ1",2017,377.7
"TOTAL","INPAT","P_HTHAB","M","E","FRJ2",2017,308.3
"TOTAL","INPAT","P_HTHAB","M","E","FRK1",2017,402.7
"TOTAL","INPAT","P_HTHAB","M","E","FRK2",2017,357.8
"TOTAL","INPAT","P_HTHAB","M","E","FRL0",2017,398
"TOTAL","INPAT","P_HTHAB","M","E","FRM0",2017,290.3
"TOTAL","INPAT","P_HTHAB","M","E","FRY1",2017,492.6
"TOTAL","INPAT","P_HTHAB","M","E","FRY2",2017,465.4
"TOTAL","INPAT","P_HTHAB","M","E","FRY3",2017,239.4
"TOTAL","INPAT","P_HTHAB","M","E","FRY4",2017,376.8
"TOTAL","INPAT","P_HTHAB","M","E","FRY5",2017,167.5
"TOTAL","INPAT","P_HTHAB","M","E","HR",2017,367.2
"TOTAL","INPAT","P_HTHAB","M","E","HR03",2017,292
"TOTAL","INPAT","P_HTHAB","M","E","HR04",2017,405.6
"TOTAL","INPAT","P_HTHAB","M","E","HU",2017,494.9
"TOTAL","INPAT","P_HTHAB","M","E","IE",2017,227.1
"TOTAL","INPAT","P_HTHAB","M","E","IE04",2017,256.4
"TOTAL","INPAT","P_HTHAB","M","E","IE05",2017,206.8
"TOTAL","INPAT","P_HTHAB","M","E","IE06",2017,230.2
"TOTAL","INPAT","P_HTHAB","M","E","IS",2017,161.8
"TOTAL","INPAT","P_HTHAB","M","E","IT",2017,219.5
"TOTAL","INPAT","P_HTHAB","M","E","ITC1",2017,209.5
"TOTAL","INPAT","P_HTHAB","M","E","ITC2",2017,181.1
"TOTAL","INPAT","P_HTHAB","M","E","ITC3",2017,189.1
